,Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
43,Chhatrapur,127,KRUSHNA CHANDRA NAYAK,Bharatiya Janata Party,SUBASH CHANDRA BEHERA,Biju Janata Dal,11438,19/19,Result Declared
44,Chhendipada,62,AGASTI BEHERA,Bharatiya Janata Party,SUSANTA KUMAR BEHERA,Biju Janata Dal,15063,20/20,Result Declared
45,Chikiti,135,MANORANJAN DYAN SAMANTARA,Bharatiya Janata Party,CHINMAYANANDA SRIRUP DEB,Biju Janata Dal,6522,18/18,Result Declared
46,Chilika,118,PRITHIVIRAJ HARICHANDAN,Bharatiya Janata Party,RAGHUNATH SAHU,Biju Janata Dal,4566,18/18,Result Declared
47,Chitrakonda,147,MANGU KHILLA,Indian National Congress,DAMBARU SISA,Bharatiya Janata Party,9159,31/31,Result Declared
48,Choudwar-Cuttack,91,SOUVIC BISWAL,Biju Janata Dal,NAYAN KISHORE MOHANTY,Bharatiya Janata Party,17816,22/22,Result Declared
49,Cuttack Sadar,93,PRAKASH CHANDRA SETHI,Bharatiya Janata Party,CHANDRA SARATHI BEHERA,Biju Janata Dal,3809,26/26,Result Declared
50,Dabugam,76,MANOHAR RANDHARI,Biju Janata Dal,LIPIKA MAJHI,Indian National Congress,21455,25/25,Result Declared
51,Daspalla,121,RAMESH CHANDRA BEHERA,Biju Janata Dal,RAGHAB MALIK,Bharatiya Janata Party,6296,18/18,Result Declared
52,Deogarh,19,ROMANCHA RANJAN BISWAL,Biju Janata Dal,SUBASH CHANDRA PANIGRAHI,Bharatiya Janata Party,15792,27/27,Result Declared
53,Dhamnagar,46,SURYABANSHI SURAJ STHITAPRAJNA,Bharatiya Janata Party,SANJAYA KUMAR DAS,Biju Janata Dal,8095,19/19,Result Declared
54,Dharamgarh,79,SUDHIR RANJAN PATTJOSHI,Bharatiya Janata Party,PUSPENDRA SINGH DEO,Biju Janata Dal,18927,23/23,Result Declared
55,Dharmasala,51,HIMANSHU SEKHAR SAHOO F-LATE RAMESH CHANDRA SAHOO,Independent,PRANAB KUMAR BALABANTARAY,Biju Janata Dal,4150,22/22,Result Declared
56,Dhenkanal,55,KRUSHNA CHANDRA PATRA,Bharatiya Janata Party,SUDHIR KUMAR SAMAL,Biju Janata Dal,20439,28/28,Result Declared
57,Digapahandi,134,SIDHANT MOHAPATRA,Bharatiya Janata Party,BIPLAB PATRO,Biju Janata Dal,16847,20/20,Result Declared
58,Ekamra-Bhubaneswar,114,BABU SINGH,Bharatiya Janata Party,ASHOK CHANDRA PANDA,Biju Janata Dal,5023,21/21,Result Declared
59,G. Udayagiri,83,PRAFULLA CHANDRA PRADHAN,Indian National Congress,MANAGOBINDA PRADHAN,Bharatiya Janata Party,7857,23/23,Result Declared
60,Ghasipura,21,BADRI NARAYAN PATRA,Biju Janata Dal,SOUMYA RANJAN PATNAIK,Independent,13811,22/22,Result Declared
61,Gopalpur,132,BIBHUTI BHUSHAN JENA,Bharatiya Janata Party,BIKRAM KUMAR PANDA,Biju Janata Dal,9062,16/16,Result Declared
62,Gunupur,138,SATYAJEET GOMANGO,Indian National Congress,RAGHUNATH GOMANGO,Biju Janata Dal,29885,21/21,Result Declared
63,Hindol,56,SIMARANI NAYAK,Bharatiya Janata Party,MAHESH SAHOO,Biju Janata Dal,11827,27/27,Result Declared
64,Hinjili,131,NAVEEN PATNAIK,Biju Janata Dal,SISIR KUMAR MISHRA,Bharatiya Janata Party,4636,18/18,Result Declared
65,Jagatsinghpur,104,AMARENDRA DAS,Bharatiya Janata Party,PRASANTA KUMAR MUDULI,Biju Janata Dal,22138,22/22,Result Declared
66,Jajpur,52,SUJATA SAHU,Biju Janata Dal,GOUTAM RAY,Bharatiya Janata Party,2564,22/22,Result Declared
67,Jaleswar,35,ASWINI KUMAR PATRA,Biju Janata Dal,BRAJAMOHAN PRADHAN,Bharatiya Janata Party,319,22/22,Result Declared
68,Jashipur,26,GANESH RAM SINGKHUNTIA,Bharatiya Janata Party,CHAKRADHAR HEMBRAM,Biju Janata Dal,34667,21/21,Result Declared
69,Jatani,115,BIBHUTI BHUSAN BALABANTARAY,Biju Janata Dal,BISWARANJAN BADAJENA,Bharatiya Janata Party,25221,19/19,Result Declared
